Time,Displacement,Force
61.6,3.93771,42.69454
61.7,3.94575,42.7005
61.8,3.95416,42.72657
61.9,3.96273,42.79919
62,3.97109,42.89955
62.1,3.97945,42.96754
62.2,3.98759,42.81567
62.3,3.99579,43.33055
62.4,4.0043,43.19517
62.5,4.01282,43.29119
62.6,4.02112,43.39008
62.7,4.02932,43.49745
62.8,4.03741,43.50476
62.9,4.04588,43.49525
63,4.05439,43.68127
63.1,4.0628,43.80843
63.2,4.07111,43.76543
63.3,4.07914,43.83924
63.4,4.08745,44.20975
63.5,4.09602,44.08294
63.6,4.10443,44.23928
63.7,4.11284,44.23013
63.8,4.12098,44.27174
63.9,4.12913,44.26105
64,4.13754,44.35388
64.1,4.14611,44.61085
64.2,4.15446,44.51485
64.3,4.16277,44.80031
64.4,4.1708,44.81998
64.5,4.17911,44.7374
64.6,4.18768,44.94794
64.7,4.19609,44.91387
64.8,4.20445,44.94764
64.9,4.21264,45.13996
65,4.22079,45.16308
65.1,4.22925,45.29348
65.2,4.23771,45.29322
65.3,4.24613,45.52112
65.4,4.25443,45.66423
65.5,4.26246,45.73976
65.6,4.27082,45.7522
65.7,4.27934,45.99592
65.8,4.28775,45.73471
65.9,4.29611,45.97484
66,4.30425,46.03489
66.1,4.31239,46.00296
66.2,4.32096,46.10344
66.3,4.32943,46.10094
66.4,4.33784,46.43164
66.5,4.34604,46.18709
66.6,4.35418,46.54615
66.7,4.36248,46.51545
66.8,4.371,46.6101
66.9,4.37946,46.77192
67,4.38782,46.7543
67.1,4.39591,46.77074
67.2,4.40405,46.97042
67.3,4.41257,46.91778
67.4,4.42104,46.87622
67.5,4.42945,46.95086
67.6,4.4377,47.38409
67.7,4.44579,47.37165
67.8,4.45414,47.36045
67.9,4.46271,47.45482
68,4.47113,47.42198
68.1,4.47948,47.54893
68.2,4.48757,47.67618
68.3,4.49582,47.57224
68.4,4.50429,47.52154
68.5,4.51275,47.84624
68.6,4.52116,47.90094
68.7,4.52936,47.97404
68.8,4.53745,48.03754
68.9,4.54586,48.21487
69,4.55438,48.28102
69.1,4.56273,48.40405
69.2,4.57114,48.36924
69.3,4.57923,48.45958
69.4,4.58748,48.43999
69.5,4.596,48.55451
69.6,4.60441,48.63446
69.7,4.61282,48.69663
69.8,4.62102,48.74295
69.9,4.62911,48.86924
70,4.63757,49.07351
70.1,4.64604,49.13124
70.2,4.65445,49.2317
70.3,4.66275,49.22493
70.4,4.67079,49.19172
70.5,4.67909,49.53305
70.6,4.68766,49.35724
70.7,4.69607,49.70794
70.8,4.70448,49.61636
70.9,4.71263,49.70602
71,4.72071,49.8289
71.1,4.72923,49.78531
71.2,4.73775,49.85417
71.3,4.74616,50.07272
71.4,4.75441,50.01666
71.5,4.7625,50.04328
71.6,4.7708,49.99771
71.7,4.77932,50.321
71.8,4.78779,50.20863
71.9,4.79614,50.38653
72,4.80429,50.53788
72.1,4.81243,50.59975
72.2,4.82089,50.73077
72.3,4.82941,50.6594
72.4,4.83782,50.86814
72.5,4.84607,50.68649
72.6,4.85411,50.86959
72.7,4.86246,50.95864
72.8,4.87104,51.10737
72.9,4.87945,51.13312
73,4.8878,50.99879
73.1,4.89595,51.23072
73.2,4.90409,51.3427
73.3,4.91261,51.56709
73.4,4.92107,51.34433
73.5,4.92948,51.71282
73.6,4.93768,51.71285
73.7,4.94571,51.6244
73.8,4.95418,51.71754
73.9,4.96275,51.9604
74,4.97116,52.07958
74.1,4.97946,51.95718
74.2,4.9875,51.99274
74.3,4.9958,52.08359
74.4,5.00432,52.3299
74.5,5.01273,52.30933
74.6,5.02114,52.23623
74.7,5.02934,52.2902
74.8,5.03743,52.51861
74.9,5.04579,52.59806
75,5.05436,52.62974
75.1,5.06282,52.74903
75.2,5.07113,52.73548
75.3,5.07921,52.76936
75.4,5.08746,53.09596
75.5,5.09598,52.99996
75.6,5.10445,52.98492
75.7,5.11286,53.1248
75.8,5.12105,53.22468
75.9,5.12909,53.24799
76,5.13755,53.45758
76.1,5.14607,53.48311
76.2,5.15443,53.5723
76.3,5.16279,53.58578
76.4,5.17077,53.7226
76.5,5.17907,53.78517
76.6,5.1877,53.87511
76.7,5.19611,54.02986
76.8,5.20446,53.9941
76.9,5.21266,54.02441
77,5.22075,54.24143
77.1,5.22921,54.04097
77.2,5.23773,54.38924
77.3,5.2462,54.34166
77.4,5.25439,54.50365
77.5,5.26248,54.56557
77.6,5.27079,54.54617
77.7,5.27936,54.56452
77.8,5.28777,54.73591
77.9,5.29612,54.90106
78,5.30427,54.94196
78.1,5.31241,54.90454
78.2,5.32093,54.98293
78.3,5.32945,55.03767
78.4,5.3378,55.30455
78.5,5.34611,55.37829
78.6,5.35414,55.21987
78.7,5.3625,55.50052
78.8,5.37102,55.44653
78.9,5.37948,55.37418
79,5.38784,55.53475
79.1,5.39587,55.66495
79.2,5.40407,55.70098
79.3,5.41259,55.86091
79.4,5.42105,55.87578
79.5,5.42946,55.85605
79.6,5.43771,55.99842
79.7,5.4458,56.07
79.8,5.45416,56.03222
79.9,5.46268,56.19017
80,5.47114,56.38052
80.1,5.4795,56.33575
80.2,5.48759,56.44382
80.3,5.49579,56.47063
80.4,5.5043,56.62772
80.5,5.51277,56.76276
80.6,5.52118,56.68216
80.7,5.52932,56.84542
80.8,5.53741,56.8259
80.9,5.54588,56.92617
81,5.55439,57.01775
81.1,5.56275,57.31879
81.2,5.57111,57.14996
81.3,5.57914,57.15945
81.4,5.58745,57.26777
81.5,5.59602,57.39776
81.6,5.60448,57.53502
81.7,5.61284,57.47977
81.8,5.62104,57.50942
81.9,5.62907,57.76497
82,5.63754,57.85755
82.1,5.64611,57.85497
82.2,5.65446,57.87757
82.3,5.66277,57.94146
82.4,5.6708,57.96032
82.5,5.67911,58.15232
82.6,5.68768,58.21989
82.7,5.69614,58.18945
82.8,5.7045,58.2717
82.9,5.71264,58.51512
83,5.72079,58.30938
83.1,5.72925,58.46118
83.2,5.73771,58.63498
83.3,5.74618,58.58021
83.4,5.75443,58.85825
